ID,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
533,Brooke Horn,17,Other,North Joseph,9th,3.9,6.6,72,7,0.1,5,1,7,1,1,78,8,2.1,0.5,0,Other,9,6.1,6.4
534,Morgan Johnson,16,Male,Anthonybury,7th,3.8,4.8,53,6,1.9,6,1,7,0,0.8,29,7,1.9,1.4,0,Browsing,5,4.7,6.7
535,Melissa Gordon,15,Male,Julieshire,11th,2.2,5.1,65,5,2.3,5,4,2,0,0.8,148,12,2.5,1.2,1.1,Social Media,4,7.7,8.7
536,Heather Gonzalez DDS,17,Female,East Samuelland,8th,3.2,3,76,7,1.4,10,4,10,1,1.7,39,17,2.8,1.7,0.2,Other,4,6.5,10
537,Matthew Dillon,13,Male,Omarview,11th,6.1,8,50,5,0.8,7,2,2,0,1.1,22,14,1,1.6,1.4,Browsing,7,5.9,7.9
538,Megan Morales,13,Male,Ashleystad,9th,7.6,7.2,86,3,1.8,10,3,9,1,1.4,117,10,1.9,1.7,0.7,Education,5,7.5,10
539,Lisa Gibson,17,Male,Lake Georgeton,10th,4.5,7.3,91,5,0.8,8,1,8,1,1.3,135,13,2.7,2.4,1.4,Other,4,6.7,10
540,Melanie Hughes,18,Other,South Jillmouth,8th,5.9,4.9,57,5,0.2,6,1,2,0,1.3,21,19,2,2.8,0.3,Gaming,9,7.9,10
541,Seth Martinez,15,Other,Drakeland,12th,2.2,10,62,6,1.7,1,1,10,1,1.6,46,14,4.1,3.6,1.3,Education,5,5.2,8.6
542,Anne Chavez,15,Male,North Jeffreyhaven,12th,5.3,5.7,56,3,0,7,5,6,1,0.6,104,9,2,1.3,1.5,Gaming,10,6.9,9.6
543,Patrick Jenkins,18,Other,Lake Rachael,9th,3.4,5.6,93,2,1.7,9,3,7,0,1,56,15,3,2.1,1.2,Browsing,1,4.8,9.8
544,Michael Davis,14,Female,East Ronald,8th,6.6,5.1,93,10,0.4,2,3,3,1,0.4,117,7,2.9,3,1.5,Social Media,10,6.5,10
545,Sharon Kelly,15,Other,North Michael,7th,6,3,88,7,0.3,9,10,2,1,0.7,27,8,3,1.2,1.1,Browsing,8,4.7,10
546,Mr. Brian Huber,18,Male,New Robert,10th,4.7,4.6,73,8,0.7,9,10,1,1,0.8,65,15,3.7,1,1.3,Social Media,4,7,10
547,Rachel Diaz,15,Male,Stephenview,12th,5.7,5.4,93,8,0.9,9,10,6,0,0.9,71,12,2.9,0,0,Other,4,4.2,9.7
548,Willie Silva,19,Other,East Stephaniehaven,7th,3.2,3.6,72,1,0,4,2,3,1,1.5,57,8,3.9,2.1,1,Gaming,1,6.2,10
549,Melissa Anderson,19,Other,Pierceburgh,7th,2.4,5.6,80,7,1.9,8,7,4,1,1.9,102,11,3.1,1.7,1.1,Other,5,5.7,8.6
550,Jennifer Cantrell,13,Female,Wallaceville,10th,4.2,6,87,3,1.2,5,7,3,0,0,22,7,2.8,1.1,1.5,Other,7,10.6,6.9
551,Daniel Stephenson,15,Other,Nicolefort,8th,7.2,8.4,56,8,0.2,1,8,9,1,1.5,72,14,2.2,3,0.1,Other,8,6,10
552,Joyce Johnson,15,Male,East Earl,12th,4.6,6.7,73,8,0.2,1,10,1,1,1.7,51,7,2.6,0,1,Browsing,4,11.8,6.3
553,Patrick Robinson,17,Male,Washingtonchester,12th,1.1,7,58,9,1.1,4,5,3,0,0.8,135,10,2.4,3.3,2.1,Gaming,6,6.6,8
554,Debbie Alexander,17,Male,New Josephhaven,7th,4.5,4.4,86,9,1.6,9,10,4,0,1.8,46,13,3.6,0.6,1.5,Other,1,7.7,10
555,Nathaniel Fleming,16,Other,Port Julieburgh,12th,1.9,6.2,58,0,1.9,2,9,10,1,1.6,32,14,2.9,3.4,0,Education,7,3.6,8.5
556,Eddie Maynard,15,Male,West Tylerside,10th,4.1,8.5,91,9,0.8,6,2,5,0,0,49,15,2.2,1.3,1.9,Social Media,9,4.7,7.3
557,Ashley Cowan,16,Other,New Barbara,12th,7.3,8.1,58,9,0,9,9,4,0,0.9,39,18,3,0,1.9,Education,1,6.3,10
558,Marcus Meyer,17,Other,North Laura,10th,9.1,4.7,59,3,1.7,1,10,6,0,0.9,135,19,2.2,2.8,0.6,Education,2,6.7,10
559,Kathryn Miller,15,Female,Danielville,12th,4.8,7.8,62,10,2.4,7,6,6,1,0.6,52,12,2.3,2,1.5,Other,4,4.1,8.6
560,Rachel Mills,13,Other,Melissaside,8th,5.9,7.5,98,5,1.7,1,4,2,0,1.8,108,18,1.1,0.3,0.3,Gaming,3,5.6,9.3
561,Maurice Jones,19,Female,Jeffreyburgh,9th,4.1,4.2,83,2,0.2,9,7,3,0,0.7,101,6,2.3,0.6,0.1,Social Media,8,8.5,8.1
562,Jennifer Watson,18,Other,North Christie,9th,1.5,8.6,60,8,1.5,3,8,8,0,1.8,119,15,4.3,3.2,2.2,Browsing,8,3.2,10
563,Barbara Joseph,19,Male,West Martin,8th,5.4,4.7,91,2,1.9,4,10,1,1,1.1,126,13,5,1.4,2.6,Social Media,3,3.8,10
564,Derek Boyd,17,Male,East Valerieberg,12th,2.3,7.1,64,5,0.7,4,5,8,1,1.5,140,18,2.7,0.4,0.6,Other,1,4.5,8.2
565,Terri Ruiz,19,Female,Bonillaborough,7th,5,6.5,55,7,1.2,8,9,7,1,1.1,32,9,1.8,3.3,0,Gaming,3,6.4,9.3
566,Mr. Zachary Randall,17,Male,East Colleenburgh,10th,4.2,7.9,67,3,0.7,9,7,1,1,0.8,56,19,2.4,1,0.7,Social Media,10,7.4,8.6
567,Mrs. Sarah Adams,15,Female,Donaldtown,12th,0.2,5.4,78,4,1,9,8,4,0,1.5,102,14,1.6,0.3,0.4,Social Media,2,7.7,4.2
568,Olivia Walker,15,Male,Christinestad,9th,8.6,7.4,68,1,1.3,5,5,9,0,0.5,31,5,3.9,2.7,1.5,Browsing,7,4.4,10
569,Maurice Burns,18,Female,East Elizabethtown,10th,4.2,7,96,6,0.9,5,9,7,1,0.4,128,8,1.4,1,0.7,Social Media,9,8.1,7.3
570,Danny Griffin,19,Other,Jeffreytown,10th,4.3,6,59,8,0,10,2,8,1,0.6,20,19,3.4,2.3,1.6,Gaming,3,6.5,10
571,Ivan Dillon,17,Female,Danieltown,7th,5.4,5.1,75,10,0.3,2,2,7,0,1,66,19,2.6,0.8,1.6,Social Media,3,2.8,10
572,Charles Hendricks,13,Male,Danielfort,9th,6.3,5.3,82,7,0.5,3,6,8,1,0.4,45,19,2.5,3,0.2,Browsing,1,3.7,10
573,Robert Bond,17,Male,Harttown,9th,7.2,8.4,97,4,1.7,9,4,5,1,1.2,33,11,2.4,4,1.6,Other,5,4.8,10
574,Michelle Sweeney,13,Female,West Caitlynview,7th,6.7,6.6,68,5,0.1,3,3,5,1,1.4,134,14,2.6,2,1.6,Other,8,4.8,10
575,Timothy Williams,16,Female,West Christina,9th,7.3,7.1,84,1,0.5,4,2,10,1,1.5,92,13,2.9,2.3,1,Other,10,6,10
576,Karen Bailey,14,Female,West Karinafurt,7th,5.2,5.3,80,9,0.8,10,2,8,1,1.1,80,14,4.4,3.2,1.8,Gaming,8,8.8,10
577,Maxwell Garza,18,Female,Port Jennifer,8th,5.7,9.9,91,9,0.8,5,7,7,0,0.9,29,14,1.4,2.8,1.5,Education,3,9.2,8.3
578,Kenneth Gray,16,Other,North Johnny,12th,4.6,8.8,96,1,1.5,3,8,9,1,1,25,14,1.3,2.3,1.2,Social Media,2,5,7.1
579,Grace Zimmerman,16,Male,East Larrychester,9th,3,7.8,62,4,0,2,7,6,1,0.6,36,14,1.7,2,0.6,Browsing,8,10.6,6.3
580,Tara Berry,13,Female,New Ian,7th,3.1,6.8,53,10,1.4,2,7,9,1,0.4,33,15,2.6,1.4,1.1,Other,9,6.8,7.4
581,Steven Gardner,13,Female,Port Kimberly,10th,4.3,6.5,88,4,0.4,1,4,7,1,1.7,82,9,4.1,2,1.3,Other,7,2.8,10
582,Courtney Adams,18,Male,Manuelhaven,10th,4.4,7,76,8,0.7,2,7,5,0,1.4,111,20,4.8,1.4,1,Other,8,5.7,10
583,Julia Rogers,16,Female,Desireeland,8th,10.5,8,97,10,2.2,7,9,8,0,1,128,16,1.9,0,0.9,Social Media,10,3.7,10
584,Margaret Williams,16,Male,Michelleton,9th,2.1,7.6,95,10,1.4,9,4,10,1,1.1,145,11,1,1.5,1,Education,4,0.9,5.9
585,Mariah Walsh,18,Other,East Matthew,10th,5.4,4.2,80,10,0.7,10,5,6,1,1,129,20,3.9,1.4,0.3,Education,3,5.3,10
586,Eric Williams,13,Other,East Elizabeth,7th,4.4,5.2,72,10,1.4,1,9,10,1,0,145,13,2.6,0.8,1.8,Other,2,3.3,10
587,Lauren Martinez,14,Male,Smithport,10th,1.9,4.6,56,1,2.6,6,6,1,0,1,101,15,2.1,2.4,1.8,Browsing,6,7,9.1
588,Deborah Goodman,15,Other,Eatonton,7th,6.4,5.8,86,9,0.4,5,6,1,0,0.7,101,14,2.7,1.3,1.7,Browsing,1,5.1,10
589,Joseph Arnold,16,Other,Ernestburgh,8th,4.9,7.1,66,7,2.1,10,1,6,0,0.6,40,18,4.3,3.1,1.2,Browsing,4,5.2,10
590,Kristina Morgan,16,Female,Annstad,12th,4.3,7.3,95,9,2.1,4,3,3,1,0.7,130,16,3.8,0.6,2.5,Browsing,7,6.2,10
591,Mckenzie Ball,17,Female,North Billyhaven,9th,6.1,6.6,52,10,0.9,7,4,1,0,0.9,39,18,3.6,1.1,1,Education,2,4.1,10
592,Joseph Rodgers,19,Male,Lake Rachelville,7th,3.9,7.7,58,9,0,4,7,7,1,0.9,51,16,2.7,1.4,0.8,Education,9,3.4,8.4
593,Dustin Wood,17,Male,Andrewside,12th,6.2,8.3,59,2,1,3,1,9,0,0.8,123,16,2.7,2.1,0.8,Gaming,9,7.5,10
594,Katherine Estrada,19,Other,Mooreburgh,7th,3.2,4.2,67,5,0.1,7,2,3,1,1.5,89,9,3.1,1.1,0.9,Other,9,0.7,8.9
595,Rachael Brown,16,Female,Port Tommyview,12th,3.9,6.3,59,2,0.7,5,2,2,1,1.2,120,18,5,4,2.5,Education,10,4.3,10
596,Brian Alvarez,16,Female,Hartland,11th,9.1,5.8,99,8,2.2,4,7,1,0,1.7,36,16,2.2,2.6,0,Social Media,9,7.6,10
597,Brittney Myers,17,Male,Nicolechester,10th,2.8,6.4,68,10,0,1,7,5,0,1.3,108,17,1.9,0.9,0.6,Social Media,1,4.4,8
598,Kenneth Rios,18,Male,Sierraville,12th,8,7.5,76,5,0,2,4,3,1,0.6,83,9,3.4,1.3,0.7,Social Media,8,5.9,10
599,Steven Hill,19,Other,Patrickberg,8th,6.7,5.9,72,1,1.1,1,3,10,0,1.6,75,16,2.3,2.7,0.3,Education,5,9.3,10
600,Mitchell Kline,15,Other,Nicolehaven,10th,5.7,6.7,74,5,1.1,1,6,10,0,1.7,54,5,2.1,3.9,1,Gaming,8,4.9,10
601,Shannon Ford,17,Male,Gonzalezport,11th,7,7,98,3,1.8,5,1,5,1,0.4,119,15,2.3,1.8,1.9,Social Media,5,5.6,10
602,Charlotte Hudson,16,Other,Jamestown,9th,7.4,5.4,80,10,0.6,3,9,2,1,0.8,148,19,4,0.6,0.5,Other,6,6.2,10
603,Teresa Thompson,16,Male,Robertville,10th,6.8,4.6,87,3,0,2,4,6,1,1.1,55,6,4.9,2.2,0.8,Gaming,9,5.6,10
604,Linda Matthews,19,Female,Millerport,7th,8.1,6.9,78,4,0,4,1,4,0,0.2,103,12,1.7,1.2,0.4,Other,2,6.8,10
605,Gregory Washington,15,Other,Hollymouth,10th,4.7,6.8,86,8,1.1,4,2,4,1,0.4,105,5,1.8,0.9,0.7,Browsing,7,4.6,7.1
606,Matthew Miles,14,Male,West Andrewchester,8th,7.5,7.8,71,9,0.2,9,7,1,0,1.3,22,8,1,0.1,1.5,Browsing,8,9,6.7
607,Judith Snyder,13,Male,Kimberlyfurt,10th,3.7,5.8,67,8,1.5,8,1,5,0,1,60,20,2.7,1,1.5,Social Media,10,8.6,9.7
608,Scott Ramirez,14,Female,Williamsbury,7th,5.3,3.4,83,1,0.6,3,6,4,0,1.9,144,12,2.2,1.6,1.1,Browsing,7,4.9,10
609,Alfred Crawford,17,Other,West Eric,11th,5.2,7.8,75,8,4,5,9,4,1,1.4,134,15,1.5,1.8,0.2,Other,6,5.7,10
610,Jose Williams,16,Female,North David,8th,2.4,4.2,53,10,1.1,4,7,4,0,0.8,108,10,1.9,1.6,1.1,Browsing,8,3.9,8
611,Jerry Acosta,18,Other,Allenborough,11th,0.5,5.3,89,8,1.3,10,9,4,0,0.4,43,5,1.7,1,1.1,Social Media,1,5.3,2.4
612,Lori Henry,16,Male,East Janettown,8th,7.6,7.9,87,4,0.2,9,3,4,1,0.6,146,14,2.8,1.1,1.9,Education,2,6.4,10
613,Darin Macias,14,Female,Swansonbury,9th,7,7.1,52,2,0.8,9,4,5,1,1.3,148,6,3.4,0.1,1.2,Browsing,10,5.7,10
614,Dennis Mcneil,19,Female,Harrisport,8th,3.6,7.8,59,9,0.3,1,7,1,1,1.7,85,16,4,1.2,0.7,Other,5,8.1,9.8
615,Susan Martinez,17,Other,Ronaldbury,10th,6.2,6.3,67,8,1.7,9,6,9,1,1.6,47,20,0,1.1,0.5,Education,6,6.2,9.1
616,Christopher Jackson,16,Male,South Nicoleside,11th,8.3,6.9,97,0,0.8,7,9,2,0,1.3,70,7,2.7,1.9,0.8,Gaming,4,3.7,10
617,Grant Salinas,15,Female,East Jonathon,11th,6.6,5.9,65,2,1.1,2,7,4,0,0.9,113,16,2.4,2,0.7,Other,3,7,10
618,Megan Williams,13,Female,Lake Johnfort,7th,6.7,5.2,75,6,2,8,4,7,0,0.1,122,16,2.6,1.7,0.5,Other,4,4.2,10
619,Margaret Martinez,14,Male,East Lisabury,7th,4.7,7.9,82,8,0.7,4,6,7,1,1,39,15,3.2,2,1,Education,5,5.5,9.7
620,Monica Lara,16,Female,Jennybury,8th,5.5,5.3,93,1,0.9,5,10,8,1,0.6,44,18,2,0.6,1.1,Browsing,10,5.9,9.9
621,Andrea Davis,19,Female,Port Eric,10th,4.9,5.9,88,8,0.9,4,8,1,0,1.3,21,20,3.6,0.7,0.5,Education,9,4.6,10
622,Brian Garcia,15,Female,Port Jenna,7th,6.7,6.5,56,2,0.8,3,7,8,0,1.1,72,5,2.8,1.2,0,Social Media,3,5.1,9.9
623,Mitchell York,18,Female,Audreyburgh,7th,7.3,6.6,50,4,2.5,9,10,7,1,1,35,15,2.7,0.8,1,Education,4,4.5,10
624,Brandon Chandler,17,Other,New Michelleport,10th,4.7,5,89,9,0.2,9,2,10,1,0.9,39,8,2.5,1.6,0.7,Browsing,2,5.7,8.7
625,Tyrone Perkins,14,Male,Bettyburgh,11th,5.3,6.8,84,3,1,6,4,1,1,1.5,106,11,1.9,1.7,1.4,Social Media,5,6.2,9.8
626,David Frost,13,Other,West Josephborough,10th,7.3,8.1,76,0,2.4,1,1,5,1,1.5,51,8,1.9,1.5,1.6,Social Media,2,4.9,9.3
627,Jessica Jones,15,Other,Smithberg,7th,5.5,5.3,69,0,0,1,7,1,1,0,45,12,1.9,1.3,0.9,Social Media,9,6.6,9.4
628,John Garcia,14,Male,North Thomasview,8th,2.6,7.2,73,3,0.6,8,9,1,0,0,107,9,4.6,1.5,1.4,Education,8,5.9,9
629,Louis Robinson,13,Male,North Jerry,7th,2.4,7.1,52,1,2.3,5,4,7,0,0.5,81,18,2.4,0.7,0.7,Browsing,1,3.5,7.2
630,Makayla Parker,13,Male,North Christopher,12th,4.3,5.8,100,10,0.4,2,1,9,1,0.9,126,15,3.4,1.3,1.2,Other,8,5,10
631,Brooke Gay,13,Female,South Richard,12th,1.1,6.8,77,9,1.9,3,9,4,1,1.6,38,19,4.2,3.8,0,Education,2,3.7,10
632,Jason Whitaker,16,Female,Shawntown,9th,5.7,8.6,55,0,0.3,5,6,5,1,1.3,121,6,2,2.1,1.7,Other,4,4.4,9.1
633,Mary Warner,14,Other,Huntland,12th,6.9,7.9,52,4,3.3,10,2,5,1,0.9,92,10,3.3,1.8,0.9,Social Media,4,7.9,10
634,James Garcia,15,Other,North Sydney,9th,2.9,5.9,92,4,1.2,5,9,6,1,0.8,45,6,2.1,0.1,1.3,Browsing,4,4.3,4.2
635,Patrick Flowers,15,Female,New Michael,12th,4.6,7.4,60,2,0,3,9,4,1,0.3,150,6,3.6,2.5,1.9,Social Media,4,3.7,10
636,Stephanie Diaz,15,Other,Mariahport,11th,5.3,5.9,96,2,0.9,8,3,8,0,0.9,51,15,4.4,1.3,0.2,Gaming,5,10.2,10
637,Megan Hill,14,Male,West Maryland,9th,3.9,3.7,85,8,0.7,8,2,6,1,1.1,39,19,2.1,1.9,0.8,Browsing,2,6.2,10
638,James Sullivan,13,Male,West Austinchester,7th,5.1,5.5,80,10,1.7,6,6,6,1,0.9,77,6,3.7,1.2,1,Browsing,2,4.8,10
639,Robert Estes,16,Female,Hahnborough,7th,4,5.1,79,10,0.9,8,9,1,1,2,81,17,2.5,2,1,Gaming,2,6,10
640,Debbie Small,13,Female,East Brian,11th,8.8,7.7,62,5,1.7,8,6,3,1,0.6,34,18,3.2,1.2,1.5,Gaming,6,5.6,10
641,Angela Chandler,14,Other,Port Emilyside,10th,1,5.9,74,4,1.7,10,6,8,1,1.1,92,20,1.9,2.8,1.7,Social Media,2,5,8.6
642,Russell Booker,18,Female,West Jenniferchester,8th,5.7,6.2,52,9,1.3,2,8,10,1,1.9,82,5,2.3,1.8,0.7,Gaming,9,4.1,9.3
643,Jeffery Thomas,18,Female,East Melissafurt,7th,5.4,7,90,9,0.2,10,10,1,1,1.3,47,17,4.7,1,0.8,Gaming,6,9.5,10
644,Christopher Miller,13,Female,North Ruben,10th,4.4,7.6,69,4,1.8,2,7,10,1,2.4,73,17,2.7,1.7,0,Browsing,2,3.3,9.9
645,Terry Walker,14,Male,New Michael,10th,6.3,4.4,52,6,0.6,2,1,5,1,0.7,74,7,2.8,1,1.5,Browsing,2,6.9,10
646,Alex Martin,17,Female,Christopherton,12th,7.8,4.6,56,0,1.5,6,10,9,1,0.6,126,6,0.9,2.1,0.9,Other,4,8.2,10
647,Caleb Garrett,18,Female,West Morgan,8th,2.9,4.9,84,5,0.3,5,1,7,0,1.6,74,9,1.9,1.4,0.8,Other,3,8.8,7
648,Donald Horne,16,Female,Lake Jonathan,11th,4.1,6.7,82,0,0.6,8,6,1,0,1.3,150,6,1.6,0.5,0.2,Social Media,6,3.4,7
649,Sandra Barton,17,Female,Port Lisamouth,12th,5.5,5.5,62,8,0.8,9,4,7,0,0.7,67,18,3.8,2.9,0,Social Media,7,6.7,10
650,Daniel Jones,19,Male,Bateschester,12th,8.5,6.7,69,1,1.7,5,2,6,1,1,47,10,1.7,1.7,0.9,Education,7,10.4,10
651,Margaret Garcia,17,Other,Edwardborough,10th,3.3,8,69,4,1.2,9,9,1,1,0.6,112,6,0.8,2.1,0.9,Other,8,4.2,5.6
652,William Vaughn,14,Other,East Kevinland,7th,3.9,5.8,95,6,1.7,1,6,8,1,0.4,83,19,2,1.2,0,Browsing,1,4.6,9.7
653,Maria Jackson,19,Other,South Jay,12th,5.6,5.2,73,2,3,2,1,1,1,0.5,98,11,2.2,0.8,0.3,Other,1,7.8,10
654,Samuel Williams,14,Male,New Michaelhaven,12th,0,7,89,7,1.7,1,4,10,0,1.5,60,7,2.7,0.3,0.9,Education,8,4.4,2.1
655,Laura Clements,13,Other,Port Andrew,12th,4.4,5.4,69,9,0.9,2,8,1,1,1.2,142,18,3.4,1.6,1.1,Browsing,9,6.6,10
656,Daniel Schmitt,16,Male,Port Craigview,10th,5.9,5,54,3,0.5,7,10,5,0,1,53,10,2.8,0.8,0,Education,9,6.1,10
657,Sandra Edwards,14,Female,South Daniel,10th,3.5,8,63,9,1.3,6,7,8,1,0.7,35,13,2.4,0,0.5,Browsing,3,4.7,5.2
658,Shawn Underwood,13,Female,Lake Virginia,11th,4.8,9.5,64,2,1.4,3,1,7,1,0.7,40,17,3.1,3.1,1.5,Education,5,6.6,10
659,Meredith Norris,14,Male,North Margaret,11th,3.1,5.6,52,5,0.2,10,2,10,1,1.2,31,6,3.7,3.5,2.2,Education,9,4.2,9.3
660,Julia Harris,19,Other,North Anthony,10th,3,6.1,77,8,0.4,9,5,7,1,0.6,141,13,1.9,2.6,0.6,Gaming,10,3.1,9.9
661,Samantha Russell,16,Other,New Tarashire,8th,3.8,5.2,87,9,2.6,2,8,4,1,0.7,60,13,1,1.1,1.1,Education,6,8.7,7.1
662,Katherine Montgomery,17,Male,Masonburgh,8th,4.9,7.7,87,7,0,5,5,6,1,1.4,86,11,1.3,2.8,1,Browsing,7,7.4,9.1
663,Edward Gilbert,17,Male,Diazberg,10th,8.4,9.3,84,7,1,8,3,2,1,1.6,28,7,2,1.2,1,Social Media,8,5,8.9
664,Francisco Sanchez,14,Other,South Jenna,10th,2.4,3.4,53,2,1.2,2,4,8,1,1.4,126,5,2.5,2,0.1,Browsing,1,6,8.7
665,Kelly Stanley,13,Female,Lake Joseph,7th,4.6,8.7,98,7,1.2,4,6,1,0,1.4,122,10,3.8,1.9,0.2,Browsing,5,9.5,10
666,Lawrence Fuller,17,Male,East Willie,7th,5.3,8.4,67,10,0.7,9,4,8,1,0.5,70,18,3.4,0.9,0.7,Education,10,4.9,10
667,Veronica Evans,15,Male,East Amberberg,9th,5.6,5.3,73,5,0.6,5,4,9,1,2,100,9,2.7,0,1.1,Social Media,1,7.8,9.5
668,Joshua Young,13,Male,Bettyberg,8th,5.7,5.6,67,9,0.5,10,8,2,1,0.8,126,9,2.7,0.6,0.3,Education,1,8.5,10
669,Christopher Garcia,16,Male,South Peter,10th,2.5,10,60,5,1.4,7,10,9,0,0.6,133,17,2.9,1.5,0.1,Gaming,6,6.1,8
670,Charles Wolfe,19,Other,Malonetown,12th,3.2,8.5,58,3,1.9,1,3,3,1,0.7,71,11,2.5,0,1.5,Browsing,6,5.3,5.1
671,Daniel Hines,17,Female,North James,12th,6.6,5.5,68,2,2,4,2,9,1,1.4,138,19,3.6,0.5,2.1,Browsing,3,6.7,10
672,Joshua Howard,13,Other,Stephaniehaven,12th,2.8,6,79,8,0.7,1,8,4,1,0.6,78,5,2.2,1.3,0.4,Gaming,4,6.7,5.9
673,Hector Mendez,15,Other,Camachoberg,7th,4.6,5.1,51,2,1,8,7,6,1,1.3,89,17,2.8,0.8,2.1,Gaming,7,6.8,10
674,Zachary Perkins,18,Male,Marqueztown,9th,6.4,7.3,84,3,0.2,10,6,1,1,0,52,12,1,2.4,0,Gaming,6,9.2,9.6
675,John Weber,13,Female,West Cliffordside,10th,3.7,5.7,90,6,0.8,3,6,7,0,0.6,117,20,3.2,1.3,1.6,Other,10,5.5,10
676,Jacqueline Fisher,14,Other,Lake James,11th,6,7.5,63,0,0.8,8,10,6,1,0.7,66,16,2.4,1.5,0.7,Other,5,3.8,10
677,Kristin Palmer,19,Male,Perrymouth,8th,6.5,6.9,88,7,1.2,7,5,2,1,1.2,93,19,2.3,2.3,1.7,Gaming,3,6.1,10
678,Joel Roy,17,Male,Dawsonville,12th,4.7,5.5,68,5,0.3,8,1,6,0,1.5,77,8,1.9,1.3,0,Social Media,1,5.5,8.3
679,Nathan Davis,17,Other,Georgemouth,8th,4.4,7.8,55,9,1.5,5,3,9,1,1.1,131,15,0.3,1.5,1.4,Social Media,5,7.5,7.9
680,Marc Young,15,Male,Port Brandy,12th,3.8,4.3,89,2,0,5,6,1,1,0.9,56,19,2.7,1.9,1.9,Other,1,5,10
681,Daniel Reyes,17,Other,North Kelly,12th,9.3,6.9,88,2,0.7,6,2,3,0,1.2,106,9,2,0.3,0.9,Gaming,8,8.6,10
682,Ryan Gonzalez,14,Female,North Johnmouth,8th,3.8,6.2,95,4,0.8,7,1,2,0,1.5,32,9,3.1,1.6,1.4,Gaming,5,2.1,7.8
683,Caroline Bowers,14,Male,South Kayla,11th,4.8,6.4,77,5,0.2,7,3,2,0,1,62,18,2.9,1.1,0.1,Education,9,6.1,10
684,Shane Walker,18,Male,Cooperland,10th,4.9,7,94,3,1.3,6,9,8,0,0.6,109,13,2.3,0,0,Gaming,6,5.4,8.5
685,Emily Montgomery,13,Other,Virginiaside,11th,5.7,6,74,1,0.4,8,3,9,1,1,63,20,2.6,0,1.7,Browsing,8,3.3,10
686,Jody Quinn,16,Female,Jacobhaven,12th,5.4,4.9,88,8,1.3,1,7,9,0,1.7,131,8,2.9,1.7,0.2,Gaming,2,5.4,10
687,William Johnson,14,Male,Ashleychester,11th,6.6,8,81,8,1.4,6,4,1,0,0.7,87,17,3.8,2.6,1,Browsing,4,7.1,10
688,Samuel Fischer,17,Other,East Megan,11th,6.5,6,64,10,0,4,5,1,1,1.1,50,6,3,1.6,0.2,Education,2,6.2,10
689,Dana Rodriguez,19,Female,North James,8th,7,5.3,59,5,0.4,10,8,9,0,0.8,134,11,2.4,1.5,0.4,Other,10,3.5,10
690,Caitlyn Baker,17,Female,Lake Melissatown,9th,4.1,6.8,62,10,1.5,3,8,10,1,1,127,15,4.2,1.5,0.3,Education,10,5.3,10
691,Krystal Gomez,19,Female,West Matthew,9th,3.2,4.3,82,6,0.6,10,3,4,1,1,23,11,2.6,2.5,0.9,Education,9,6.9,8.8
692,Jennifer White,17,Other,West Davidchester,10th,5,7.2,80,8,0.2,4,4,1,1,1.7,122,16,2,2.2,1.2,Social Media,7,7.4,10
693,Jessica Harris,18,Other,Lake Michaelport,9th,4.3,4,95,6,1.3,8,6,8,1,0.5,24,13,3.5,2,0,Gaming,8,6.9,10
694,Nicholas Villa,17,Other,Haleyhaven,10th,5.4,7.8,77,7,0,5,4,7,1,1.4,120,12,4.3,0,0.4,Gaming,10,3.1,10
695,Kurt Brown,13,Male,Russellton,9th,3.7,4.2,85,7,1.7,7,2,10,0,2,132,6,1.4,1.1,0.1,Browsing,9,2,7.9
696,Steven Peterson,16,Other,Lake Amandahaven,9th,5.2,6.1,93,6,0.6,8,8,5,1,0.9,93,11,4.2,2.4,0.3,Social Media,4,9.3,10
697,Erika Jones,13,Male,New Jessemouth,8th,2.5,7.6,90,7,0.1,5,2,10,1,1,61,7,2.6,1.9,2.4,Browsing,3,2.1,5.8
698,Anthony Allen,18,Female,South Stephanieton,12th,4,5.7,55,0,1.4,4,5,2,1,1.3,48,18,2.7,3,0.7,Other,8,8.3,10
699,Brittany Klein,18,Male,Lake Julianborough,8th,7.6,7,61,7,2.7,10,3,7,0,1.6,121,5,3.1,1.7,1.9,Social Media,10,11.6,10
700,Daniel Burgess,17,Female,Port Brittanyville,12th,4.9,4.7,79,8,1,3,4,2,1,1.3,122,12,2.3,1.2,0.6,Gaming,10,5,10
701,Paul Rodriguez,14,Male,Lake Holly,11th,2.8,4.4,60,8,0,2,4,7,1,1.2,95,9,2.8,0.4,0.5,Gaming,10,8.1,7.5
702,Philip Patel,13,Female,North Christopher,11th,0,4.5,63,5,0.4,5,10,9,1,0.8,141,18,3.3,0,1,Social Media,1,6.1,7.5
703,Ronald Simmons,16,Female,Port Theodore,9th,2.9,6.7,64,8,0,5,7,9,0,1.5,115,14,3.4,1.2,0.4,Other,3,5.1,9.2
704,Gabriella Winters DDS,17,Other,West Phillipfort,11th,4.1,7.1,80,3,0,10,8,6,1,0.7,121,17,1,0.4,1.1,Browsing,6,6.2,7.8
